,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 12:49:21
,     Stop Time: ~10/24/2017 13:49:21


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi7_H, Vi7_S, Vi8_H, Vi8_S, Di5_H, Di5_S, Di6_H, Di6_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,65.00,0.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,237.00,0.00,
Total Counts,204.00,1810.00,446.00,2264.00,117.00,1310.00,160.00,1109.00,57.00,2762.00,3234.00,1221.00,

 13:11:22
Interval Count,0.00,27.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,239.00,0.00,
Total Counts,204.00,1837.00,446.00,2297.00,117.00,1310.00,160.00,1109.00,57.00,2762.00,3473.00,1221.00,

 13:11:52
Interval Count,0.00,17.00,1.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,241.00,0.00,
Total Counts,204.00,1854.00,447.00,2422.00,117.00,1310.00,160.00,1109.00,57.00,2762.00,3714.00,1221.00,

 13:12:22
Interval Count,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,9.00,153.00,0.00,
Total Counts,204.00,1854.00,447.00,2460.00,117.00,1310.00,160.00,1109.00,57.00,2771.00,3867.00,1221.00,

 13:12:52
Interval Count,1.00,19.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,205.00,1873.00,447.00,2509.00,117.00,1310.00,160.00,1109.00,57.00,2771.00,3867.00,1221.00,

 13:13:22
Interval Count,0.00,5.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
