,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/3/2018 13:42:44
,     Stop Time: ~1/3/2018 14:42:44


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di15_S, Di15_H, Di16_S, Di16_H, Vi17_S, Vi17_H, Vi18_H, Vi18_S, Ri15_H, Ri15_S, Ri16_H, Ri16_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Total Counts,1556.00,16.00,2426.00,12.00,1096.00,66.00,133.00,363.00,89.00,702.00,10.00,1050.00,

 14:04:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,11.00,0.00,21.00,21.00,0.00,
Total Counts,1556.00,16.00,2426.00,12.00,1096.00,66.00,134.00,374.00,89.00,723.00,31.00,1050.00,

 14:05:15
Interval Count,45.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,167.00,59.00,0.00,
Total Counts,1601.00,16.00,2506.00,12.00,1096.00,66.00,134.00,374.00,89.00,890.00,90.00,1050.00,

 14:05:45
Interval Count,130.00,0.00,109.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,
Total Counts,1731.00,16.00,2615.00,12.00,1096.00,66.00,134.00,374.00,89.00,917.00,90.00,1050.00,

 14:06:15
Interval Count,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1807.00,16.00,2615.00,12.00,1096.00,66.00,134.00,374.00,89.00,917.00,90.00,1050.00,

 14:06:45
Interval Count,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,0.00,
Total Counts,1859.00,16.00,2615.00,12.00,1096.00,66.00,134.00,374.00,89.00,923.00,91.00,1050.00,

 14:07:15
Interval Count,0.00,0.00,0.00,0.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1859.00,16.00,2615.00,12.00,1157.00,66.00,134.00,374.00,89.00,923.00,91.00,1050.00,

 14:07:45
Interval Count,0.00,1.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1859.00,17.00,2615.00,12.00,1181.00,66.00,134.00,374.00,89.00,923.00,91.00,1050.00,

 14:08:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,1859.00,17.00,2615.00,12.00,1181.00,66.00,135.00,375.00,89.00,923.00,91.00,1050.00,

 14:08:45
Interval Count,1.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1860.00,17.00,2615.00,12.00,1181.00,66.00,143.00,375.00,89.00,923.00,91.00,1050.00,

 14:09:15
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,1860.00,17.00,2616.00,12.00,1181.00,66.00,145.00,376.00,89.00,923.00,91.00,1050.00,

 14:09:45
Interval Count,0.00,0.00,75.00,0.00,0.00,0.00,0.00,99.00,0.00,41.00,0.00,0.00,
Total Counts,1860.00,17.00,2691.00,12.00,1181.00,66.00,145.00,475.00,89.00,964.00,91.00,1050.00,

 14:10:15
Interval Count,0.00,0.00,192.00,0.00,0.00,0.00,0.00,2.00,0.00,47.00,0.00,0.00,
Total Counts,1860.00,17.00,2883.00,12.00,1181.00,66.00,145.00,477.00,89.00,1011.00,91.00,1050.00,

 14:10:45
Interval Count,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,1860.00,17.00,2943.00,12.00,1181.00,66.00,145.00,477.00,89.00,1011.00,92.00,1050.00,

 14:11:15
Interval Count,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1860.00,17.00,2943.00,12.00,1187.00,66.00,145.00,477.00,89.00,1011.00,92.00,1050.00,

 14:11:45
Interval Count,0.00,2.00,0.00,1.00,4.00,12.00,1.00,0.00,0.00,0.00,0.00,0.00,
