,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2006 19:54:26
,     Stop Time: ~1/8/2006 20:54:26


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq7_H, Dq7_S, Dq8_H, Dq8_S, Dq9_H, Dq9_S, Dq10_S, Dq10_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,114.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,3197.00,33.00,0.00,0.00,0.00,0.00,

 20:19:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,3275.00,33.00,0.00,0.00,0.00,0.00,

 20:20:27
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,3285.00,33.00,0.00,0.00,0.00,0.00,

 20:20:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,3285.00,33.00,0.00,0.00,0.00,0.00,

 20:21:27
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,3311.00,33.00,0.00,0.00,0.00,0.00,

 20:21:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,3311.00,33.00,0.00,0.00,0.00,0.00,

 20:22:27
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,3379.00,33.00,0.00,0.00,0.00,0.00,

 20:22:57
Interval Count,0.00,75.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1987.00,14.00,4209.00,31.00,1523.00,3439.00,33.00,0.00,0.00,0.00,0.00,

 20:23:27
Interval Count,0.00,33.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,2020.00,14.00,4209.00,32.00,1523.00,3439.00,33.00,0.00,0.00,0.00,0.00,

 20:23:57
Interval Count,0.00,0.00,0.00,157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,2020.00,14.00,4366.00,32.00,1523.00,3439.00,33.00,0.00,0.00,0.00,0.00,

 20:24:27
Interval Count,0.00,0.00,0.00,112.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,2020.00,14.00,4478.00,32.00,1523.00,3439.00,33.00,0.00,0.00,0.00,0.00,

 20:24:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,73.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,2020.00,14.00,4478.00,32.00,1523.00,3512.00,33.00,0.00,0.00,0.00,0.00,

 20:25:27
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,96.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,2020.00,14.00,4478.00,32.00,1523.00,3608.00,33.00,0.00,0.00,0.00,0.00,

 20:25:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,2020.00,14.00,4478.00,32.00,1523.00,3608.00,33.00,0.00,0.00,0.00,0.00,

 20:26:27
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,2020.00,14.00,4478.00,32.00,1523.00,3608.00,33.00,0.00,0.00,0.00,0.00,

 20:26:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,2020.00,14.00,4478.00,32.00,1523.00,3608.00,33.00,0.00,0.00,0.00,0.00,

 20:27:27
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,2020.00,14.00,4478.00,32.00,1523.00,3698.00,33.00,0.00,0.00,0.00,0.00,

 20:27:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
