,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/30/2017 11:17:13
,     Stop Time: ~10/30/2017 12:17:13


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri5_S, Ri5_H, Ri6_S, Ri6_H, Vi5_S, Vi5_H, Vi6_S, Vi6_H, Di3_S, Di3_H, Di4_S, Di4_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,721.00,76.00,212.00,51.00,395.00,257.00,748.00,227.00,467.00,38.00,757.00,26.00,

 11:45:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,721.00,76.00,212.00,51.00,395.00,257.00,748.00,227.00,467.00,38.00,757.00,26.00,

 11:45:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,
Total Counts,721.00,76.00,212.00,51.00,395.00,257.00,748.00,227.00,467.00,38.00,766.00,26.00,

 11:46:15
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,721.00,76.00,212.00,52.00,395.00,257.00,748.00,227.00,467.00,38.00,766.00,26.00,

 11:46:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,13.00,0.00,
Total Counts,721.00,76.00,212.00,52.00,395.00,257.00,748.00,227.00,467.00,48.00,779.00,26.00,

 11:47:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,
Total Counts,721.00,76.00,212.00,52.00,395.00,257.00,748.00,227.00,467.00,50.00,779.00,26.00,

 11:47:45
Interval Count,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,1.00,0.00,0.00,0.00,
