,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 14:07:59
,     Stop Time: ~10/24/2017 15:07:59


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,0.00,0.00,11.00,0.00,6.00,1.00,0.00,0.00,0.00,0.00,45.00,
Total Counts,54.00,2829.00,76.00,1426.00,19.00,2232.00,52.00,1376.00,65.00,955.00,84.00,3271.00,

 14:30:00
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,90.00,
Total Counts,54.00,2829.00,76.00,1426.00,19.00,2232.00,53.00,1376.00,65.00,955.00,84.00,3361.00,

 14:30:30
Interval Count,0.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,104.00,
Total Counts,54.00,2829.00,76.00,1426.00,20.00,2233.00,53.00,1378.00,65.00,955.00,84.00,3465.00,

 14:31:00
Interval Count,0.00,14.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,54.00,2843.00,76.00,1442.00,20.00,2233.00,53.00,1378.00,65.00,955.00,84.00,3465.00,

 14:31:30
Interval Count,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,133.00,
Total Counts,54.00,2843.00,76.00,1448.00,20.00,2233.00,53.00,1378.00,65.00,955.00,85.00,3598.00,

 14:32:00
Interval Count,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.00,
Total Counts,55.00,2843.00,76.00,1448.00,20.00,2233.00,53.00,1378.00,65.00,955.00,85.00,3741.00,

