,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,
,Version 10.2.2966.20953,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,
,,USB Interface REV 1 [1],,,,,,,,,,
,     Experiment Name: SaccharinPrefG2W2,,,,,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,
,     Start Time: 10/22/2017 12:27:23,,,,,,,,,,,
,     Stop Time: ~10/22/2017 13:27:23,,,,,,,,,,,


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi8_H, Vi8_S, Vi7_H, Vi7_S, Di5_H, Di5_S, Di6_H, Di6_S
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat


Interval Count,2,0,0,76,0,0,0,0,0,0,0,44
Total Counts,19,2104,62,2921,71,1105,91,1734,32,812,54,2551

 12:54:55,,,,,,,,,,,,
Interval Count,0,57,0,125,0,0,0,0,0,0,0,13
Total Counts,19,2161,62,3046,71,1105,91,1734,32,812,54,2564

 12:55:25,,,,,,,,,,,,
Interval Count,0,11,2,16,0,0,0,0,0,0,0,80
Total Counts,19,2172,64,3062,71,1105,91,1734,32,812,54,2644

 12:55:54,,,,,,,,,,,,
Interval Count,0,0,0,0,0,121,0,0,0,0,0,42
Total Counts,19,2172,64,3062,71,1226,91,1734,32,812,54,2686

 12:56:24,,,,,,,,,,,,
Interval Count,0,11,0,0,0,159,0,69,0,0,0,1
Total Counts,19,2183,64,3062,71,1385,91,1803,32,812,54,2687

 12:56:55,,,,,,,,,,,,
Interval Count,0,0,0,72,0,0,0,89,0,0,0,0
Total Counts,19,2183,64,3134,71,1385,91,1892,32,812,54,2687

 12:57:25,,,,,,,,,,,,
Interval Count,0,0,0,154,0,0,0,14,0,0,0,0
Total Counts,19,2183,64,3288,71,1385,91,1906,32,812,54,2687

 12:57:55,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,120,2,65,0,0
Total Counts,19,2183,64,3288,71,1385,91,2026,34,877,54,2687

 12:58:25,,,,,,,,,,,,
Interval Count,0,0,0,99,0,0,1,0,0,39,0,0
Total Counts,19,2183,64,3387,71,1385,92,2026,34,916,54,2687

 12:58:55,,,,,,,,,,,,
Interval Count,0,14,0,81,0,0,0,0,0,1,0,0
Total Counts,19,2197,64,3468,71,1385,92,2026,34,917,54,2687

 12:59:25,,,,,,,,,,,,
Interval Count,0,17,0,3,0,90,0,0,0,10,0,56
Total Counts,19,2214,64,3471,71,1475,92,2026,34,927,54,2743

 12:59:55,,,,,,,,,,,,
Interval Count,0,0,0,137,0,2,0,0,0,0,0,3
Total Counts,19,2214,64,3608,71,1477,92,2026,34,927,54,2746

 13:00:25,,,,,,,,,,,,
Interval Count,1,27,0,22,0,43,0,0,0,45,0,1
Total Counts,20,2241,64,3630,71,1520,92,2026,34,972,54,2747

 13:00:55,,,,,,,,,,,,
Interval Count,0,0,0,30,0,0,3,0,0,51,0,75
