,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/22/2017 13:50:33
,     Stop Time: ~10/22/2017 14:50:33


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,
Total Counts,16.00,6494.00,247.00,3521.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,7.00,6065.00,

 14:29:34
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,
Total Counts,16.00,6494.00,247.00,3521.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,7.00,6142.00,

 14:30:04
Interval Count,0.00,8.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,
Total Counts,16.00,6502.00,247.00,3526.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,7.00,6209.00,

 14:30:34
Interval Count,0.00,7.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,16.00,6509.00,247.00,3530.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,7.00,6209.00,

 14:31:04
Interval Count,1.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,17.00,6509.00,247.00,3539.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,7.00,6209.00,

 14:31:34
Interval Count,0.00,5.00,0.00,5.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,17.00,6514.00,247.00,3544.00,83.00,2194.00,264.00,1881.00,15.00,1075.00,7.00,6209.00,

 14:32:04
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,17.00,6514.00,247.00,3544.00,83.00,2194.00,264.00,1881.00,16.00,1075.00,7.00,6209.00,

 14:32:34
Interval Count,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,
Total Counts,17.00,6526.00,247.00,3544.00,83.00,2194.00,264.00,1881.00,16.00,1081.00,7.00,6209.00,

 14:33:04
Interval Count,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,
Total Counts,17.00,6526.00,247.00,3549.00,83.00,2194.00,264.00,1881.00,16.00,1081.00,7.00,6303.00,

 14:33:34
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,17.00,6526.00,247.00,3549.00,83.00,2194.00,267.00,1881.00,16.00,1081.00,7.00,6303.00,

 14:34:04
Interval Count,0.00,0.00,11.00,0.00,0.00,70.00,0.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,17.00,6526.00,258.00,3549.00,83.00,2264.00,267.00,1883.00,16.00,1081.00,7.00,6303.00,

 14:34:34
