,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2006 21:36:02
,     Stop Time: ~1/8/2006 22:36:02


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq11_H, Dq11_S, Dq12_H, Dq12_S, Dq13_H, Dq13_S, Dq14_S, Dq14_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,1.00,2536.00,112.00,2233.00,8.00,2145.00,2592.00,41.00,0.00,0.00,0.00,0.00,

 21:55:33
Interval Count,0.00,0.00,0.00,12.00,0.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2536.00,112.00,2245.00,8.00,2145.00,2656.00,41.00,0.00,0.00,0.00,0.00,

 21:56:03
Interval Count,0.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2536.00,112.00,2297.00,8.00,2145.00,2656.00,41.00,0.00,0.00,0.00,0.00,

 21:56:33
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2536.00,112.00,2297.00,8.00,2145.00,2656.00,41.00,0.00,0.00,0.00,0.00,

 21:57:03
Interval Count,0.00,113.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2649.00,112.00,2305.00,8.00,2145.00,2656.00,41.00,0.00,0.00,0.00,0.00,

 21:57:33
Interval Count,0.00,52.00,0.00,0.00,0.00,0.00,114.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2701.00,112.00,2305.00,8.00,2145.00,2770.00,41.00,0.00,0.00,0.00,0.00,

 21:58:03
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,107.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2701.00,112.00,2305.00,8.00,2145.00,2877.00,41.00,0.00,0.00,0.00,0.00,

 21:58:33
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,84.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2701.00,112.00,2305.00,8.00,2145.00,2961.00,41.00,0.00,0.00,0.00,0.00,

 21:59:03
Interval Count,0.00,0.00,0.00,178.00,0.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2701.00,112.00,2483.00,8.00,2145.00,3019.00,41.00,0.00,0.00,0.00,0.00,

 21:59:33
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2701.00,112.00,2483.00,8.00,2145.00,3019.00,41.00,0.00,0.00,0.00,0.00,

 22:00:03
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2701.00,112.00,2483.00,8.00,2145.00,3019.00,41.00,0.00,0.00,0.00,0.00,

 22:00:33
Interval Count,0.00,58.00,0.00,114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2759.00,112.00,2597.00,8.00,2145.00,3019.00,41.00,0.00,0.00,0.00,0.00,

 22:01:03
Interval Count,0.00,0.00,0.00,39.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2759.00,112.00,2636.00,8.00,2145.00,3084.00,41.00,0.00,0.00,0.00,0.00,

 22:01:33
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2759.00,112.00,2637.00,8.00,2145.00,3119.00,41.00,0.00,0.00,0.00,0.00,

 22:02:04
Interval Count,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2759.00,112.00,2679.00,8.00,2145.00,3119.00,41.00,0.00,0.00,0.00,0.00,

 22:02:34
