,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2018 11:46:05
,     Stop Time: ~1/7/2018 12:46:05


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Total Counts,1747.00,20.00,181.00,655.00,0.00,0.00,29.00,3836.00,318.00,4304.00,87.00,1841.00,

 12:16:36
Interval Count,65.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.00,4.00,0.00,0.00,
Total Counts,1812.00,20.00,181.00,655.00,0.00,0.00,29.00,3900.00,318.00,4308.00,87.00,1841.00,

 12:17:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,9.00,
Total Counts,1812.00,20.00,181.00,655.00,0.00,0.00,29.00,3900.00,318.00,4312.00,87.00,1850.00,

 12:17:36
Interval Count,0.00,0.00,2.00,0.00,0.00,0.00,0.00,40.00,1.00,3.00,0.00,43.00,
Total Counts,1812.00,20.00,183.00,655.00,0.00,0.00,29.00,3940.00,319.00,4315.00,87.00,1893.00,

 12:18:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00,2.00,0.00,0.00,7.00,
Total Counts,1812.00,20.00,183.00,655.00,0.00,0.00,29.00,4029.00,321.00,4315.00,87.00,1900.00,

 12:18:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,0.00,0.00,31.00,
Total Counts,1812.00,20.00,183.00,655.00,0.00,0.00,29.00,4078.00,321.00,4315.00,87.00,1931.00,

