,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2006 21:07:57
,     Stop Time: ~1/7/2006 22:07:57


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq11_H, Dq11_S, Dq12_H, Dq12_S, Dq13_H, Dq13_S, Dq14_S, Dq14_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Interval Count,0.00,206.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,9160.00,144.00,2017.00,43.00,2567.00,4762.00,35.00,0.00,0.00,0.00,0.00,

 21:30:58
Interval Count,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,9160.00,144.00,2017.00,44.00,2567.00,4762.00,35.00,0.00,0.00,0.00,0.00,

 21:31:28
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,9160.00,144.00,2017.00,44.00,2567.00,4762.00,35.00,0.00,0.00,0.00,0.00,

 21:31:58
Interval Count,0.00,51.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,9211.00,144.00,2019.00,44.00,2567.00,4762.00,35.00,0.00,0.00,0.00,0.00,

 21:32:28
Interval Count,0.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,9289.00,144.00,2019.00,44.00,2567.00,4762.00,35.00,0.00,0.00,0.00,0.00,

 21:32:58
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,9289.00,144.00,2019.00,44.00,2567.00,4765.00,35.00,0.00,0.00,0.00,0.00,

 21:33:28
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,9289.00,144.00,2019.00,44.00,2567.00,4765.00,35.00,0.00,0.00,0.00,0.00,

 21:33:58
Interval Count,0.00,0.00,0.00,85.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,9289.00,144.00,2104.00,44.00,2567.00,4765.00,37.00,0.00,0.00,0.00,0.00,

 21:34:28
Interval Count,73.00,24.00,0.00,29.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,135.00,9313.00,144.00,2133.00,44.00,2568.00,4765.00,38.00,0.00,0.00,0.00,0.00,

 21:34:58
Interval Count,0.00,169.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,135.00,9482.00,144.00,2208.00,44.00,2568.00,4765.00,38.00,0.00,0.00,0.00,0.00,

 21:35:28
