,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/29/2017 13:24:05
,     Stop Time: ~10/29/2017 14:24:05


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Total Counts,42.00,5763.00,94.00,2682.00,28.00,1468.00,60.00,2299.00,73.00,1634.00,9.00,6896.00,

 14:00:06
Interval Count,0.00,120.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,142.00,
Total Counts,42.00,5883.00,94.00,2682.00,28.00,1468.00,61.00,2303.00,73.00,1634.00,9.00,7038.00,

 14:00:36
Interval Count,1.00,10.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,
Total Counts,43.00,5893.00,94.00,2685.00,31.00,1468.00,61.00,2303.00,73.00,1634.00,9.00,7130.00,

 14:01:07
Interval Count,0.00,0.00,0.00,0.00,0.00,170.00,0.00,0.00,0.00,0.00,0.00,26.00,
Total Counts,43.00,5893.00,94.00,2685.00,31.00,1638.00,61.00,2303.00,73.00,1634.00,9.00,7156.00,

 14:01:36
Interval Count,7.00,0.00,0.00,9.00,0.00,186.00,0.00,0.00,0.00,0.00,0.00,54.00,
Total Counts,50.00,5893.00,94.00,2694.00,31.00,1824.00,61.00,2303.00,73.00,1634.00,9.00,7210.00,

 14:02:06
Interval Count,0.00,150.00,5.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,
Total Counts,50.00,6043.00,99.00,2711.00,31.00,1824.00,61.00,2303.00,73.00,1634.00,9.00,7319.00,

 14:02:36
Interval Count,0.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,
Total Counts,50.00,6283.00,99.00,2711.00,31.00,1824.00,61.00,2303.00,73.00,1634.00,9.00,7346.00,

 14:03:07
Interval Count,0.00,187.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,50.00,6470.00,99.00,2711.00,31.00,1824.00,62.00,2303.00,73.00,1634.00,9.00,7346.00,

 14:03:37
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,50.00,6470.00,99.00,2711.00,31.00,1824.00,62.00,2303.00,73.00,1634.00,9.00,7346.00,

 14:04:06
