,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,
,Version 10.2.2966.20953,,,,,,,
,Experiment Setup:,,,,,,,
,Connected Hardware:,,,,,,,
,,USB Interface REV 1 [1],,,,,,
,     Experiment Name: SaccharinPrefG2W4,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,
,     Time Format: H:mm:ss,,,,,,,
,     Start Time: 10/17/2017 14:49:09,,,,,,,
,     Stop Time: ~10/17/2017 15:49:09,,,,,,,
,,,,,,,,
,,,,,,,,
Interface/Port, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Vi11_H, Vi11_S, Vi12_H, Vi12_S, Di9_H, Di9_S, Di10_H, Di10_S
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat
,,,,,,,,
,,,,,,,,
 10/17/2017 14:49:09,,,,,,,,
Total Counts,124,1405,18,1285,50,2161,717,7525
,,,,,,,,
 15:23:40,,,,,,,,
Interval Count,0,0,0,0,0,0,1,0
Total Counts,124,1405,18,1285,50,2161,718,7525
,,,,,,,,
 15:24:10,,,,,,,,
Interval Count,0,1,0,0,0,0,0,0
Total Counts,124,1406,18,1285,50,2161,718,7525
,,,,,,,,
 15:24:40,,,,,,,,
Interval Count,0,1,0,0,0,0,0,0
Total Counts,124,1407,18,1285,50,2161,718,7525
,,,,,,,,
 15:25:10,,,,,,,,
Interval Count,0,2,0,0,0,2,0,0
Total Counts,124,1409,18,1285,50,2163,718,7525
,,,,,,,,
 15:25:40,,,,,,,,
Interval Count,2,0,0,0,0,0,0,0
Total Counts,126,1409,18,1285,50,2163,718,7525
,,,,,,,,
 15:26:10,,,,,,,,
Interval Count,0,0,0,128,0,0,0,0
Total Counts,126,1409,18,1413,50,2163,718,7525
,,,,,,,,
 15:26:40,,,,,,,,
Interval Count,0,0,0,48,0,0,0,0
Total Counts,126,1409,18,1461,50,2163,718,7525
,,,,,,,,
 15:27:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,126,1409,18,1461,50,2163,718,7525
,,,,,,,,
 15:27:40,,,,,,,,
Interval Count,0,0,0,0,0,0,0,213
Total Counts,126,1409,18,1461,50,2163,718,7738
,,,,,,,,
 15:28:10,,,,,,,,
Interval Count,1,0,0,0,2,0,0,240
Total Counts,127,1409,18,1461,52,2163,718,7978
,,,,,,,,
 15:28:40,,,,,,,,
Interval Count,0,0,0,0,0,0,0,240
Total Counts,127,1409,18,1461,52,2163,718,8218
,,,,,,,,
 15:29:10,,,,,,,,
Interval Count,0,11,0,0,0,0,0,239
Total Counts,127,1420,18,1461,52,2163,718,8457
,,,,,,,,
 15:29:40,,,,,,,,
Interval Count,0,2,0,0,0,0,0,241
Total Counts,127,1422,18,1461,52,2163,718,8698
,,,,,,,,
 15:30:10,,,,,,,,
Interval Count,0,6,0,0,0,0,0,150
Total Counts,127,1428,18,1461,52,2163,718,8848
,,,,,,,,
 15:30:41,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,127,1428,18,1461,52,2163,718,8848
,,,,,,,,
 15:31:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,127,1428,18,1461,52,2163,718,8848
,,,,,,,,
 15:31:40,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,127,1428,18,1461,52,2163,718,8848
,,,,,,,,
 15:32:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,54
Total Counts,127,1428,18,1461,52,2163,718,8902
,,,,,,,,
 15:32:41,,,,,,,,
Interval Count,0,0,0,0,13,0,0,240
Total Counts,127,1428,18,1461,65,2163,718,9142
,,,,,,,,
 15:33:11,,,,,,,,
Interval Count,0,0,0,3,0,0,0,240
Total Counts,127,1428,18,1464,65,2163,718,9382
,,,,,,,,
 15:33:40,,,,,,,,
Interval Count,1,0,0,0,0,0,0,240
Total Counts,128,1428,18,1464,65,2163,718,9622
,,,,,,,,
 15:34:11,,,,,,,,
Interval Count,0,0,0,0,0,0,0,30
Total Counts,128,1428,18,1464,65,2163,718,9652
,,,,,,,,
 15:34:41,,,,,,,,
Interval Count,0,0,0,2,0,0,0,0
Total Counts,128,1428,18,1466,65,2163,718,9652
,,,,,,,,
 15:35:11,,,,,,,,
Interval Count,0,2,0,0,0,0,0,0
Total Counts,128,1430,18,1466,65,2163,718,9652
,,,,,,,,
 15:35:41,,,,,,,,
Interval Count,6,0,0,0,0,0,0,0
Total Counts,134,1430,18,1466,65,2163,718,9652
,,,,,,,,
 15:36:11,,,,,,,,
Interval Count,0,1,0,0,1,0,0,210
Total Counts,134,1431,18,1466,66,2163,718,9862
,,,,,,,,
 15:36:41,,,,,,,,
Interval Count,0,0,0,0,0,0,0,157
Total Counts,134,1431,18,1466,66,2163,718,10019
,,,,,,,,
 15:37:11,,,,,,,,
Interval Count,0,0,0,0,0,0,0,50
Total Counts,134,1431,18,1466,66,2163,718,10069
,,,,,,,,
 15:37:41,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,134,1431,18,1466,66,2163,718,10069
,,,,,,,,
 15:38:11,,,,,,,,
Interval Count,0,128,0,0,0,0,0,0
Total Counts,134,1559,18,1466,66,2163,718,10069
,,,,,,,,
 15:38:41,,,,,,,,
Interval Count,0,197,0,0,0,0,0,0
Total Counts,134,1756,18,1466,66,2163,718,10069
,,,,,,,,
 15:39:11,,,,,,,,
Interval Count,0,32,0,0,2,0,0,0
Total Counts,134,1788,18,1466,68,2163,718,10069
,,,,,,,,
 15:39:41,,,,,,,,
Interval Count,0,0,0,2,0,0,0,0
Total Counts,134,1788,18,1468,68,2163,718,10069
,,,,,,,,
 15:40:11,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,134,1788,18,1468,68,2163,718,10069
,,,,,,,,
 15:40:41,,,,,,,,
Interval Count,0,0,0,0,0,0,0,2
Total Counts,134,1788,18,1468,68,2163,718,10071
,,,,,,,,
 15:41:11,,,,,,,,
Interval Count,0,1,0,0,2,0,0,113
Total Counts,134,1789,18,1468,70,2163,718,10184
,,,,,,,,
 15:41:41,,,,,,,,
Interval Count,0,0,0,0,0,0,0,80
Total Counts,134,1789,18,1468,70,2163,718,10264
,,,,,,,,
 15:42:11,,,,,,,,
Interval Count,0,0,0,0,0,0,0,239
Total Counts,134,1789,18,1468,70,2163,718,10503
,,,,,,,,
 15:42:41,,,,,,,,
Interval Count,0,0,0,0,0,0,0,207
Total Counts,134,1789,18,1468,70,2163,718,10710
,,,,,,,,
 15:43:11,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,134,1789,18,1468,70,2163,718,10710
,,,,,,,,
 15:43:41,,,,,,,,
Interval Count,0,107,0,1,0,0,0,159
Total Counts,134,1896,18,1469,70,2163,718,10869
,,,,,,,,
 15:44:11,,,,,,,,
Interval Count,0,0,0,0,0,0,0,149
Total Counts,134,1896,18,1469,70,2163,718,11018
,,,,,,,,
 15:44:41,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,134,1896,18,1469,70,2163,718,11018
,,,,,,,,
 15:45:11,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,134,1896,18,1469,70,2163,718,11018
,,,,,,,,
 15:45:41,,,,,,,,
Interval Count,0,1,0,0,1,23,0,0
Total Counts,134,1897,18,1469,71,2186,718,11018
,,,,,,,,
 15:46:11,,,,,,,,
