,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2018 11:36:44
,     Stop Time: ~1/8/2018 12:36:44


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,29.00,82.00,0.00,0.00,0.00,0.00,84.00,0.00,0.00,0.00,25.00,
Total Counts,2108.00,60.00,1868.00,30.00,0.00,0.00,10.00,5021.00,49.00,4306.00,27.00,809.00,

 12:00:15
Interval Count,108.00,0.00,159.00,0.00,0.00,0.00,0.00,191.00,0.00,0.00,0.00,0.00,
Total Counts,2216.00,60.00,2027.00,30.00,0.00,0.00,10.00,5212.00,49.00,4306.00,27.00,809.00,

 12:00:45
Interval Count,0.00,0.00,190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.00,
Total Counts,2216.00,60.00,2217.00,30.00,0.00,0.00,10.00,5212.00,49.00,4306.00,27.00,900.00,

 12:01:15
Interval Count,1.00,0.00,194.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,60.00,2411.00,30.00,0.00,0.00,10.00,5212.00,49.00,4306.00,27.00,900.00,

 12:01:45
Interval Count,0.00,0.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,73.00,
Total Counts,2217.00,60.00,2487.00,30.00,0.00,0.00,10.00,5212.00,49.00,4338.00,27.00,973.00,

 12:02:15
Interval Count,0.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,0.00,110.00,0.00,5.00,
Total Counts,2217.00,60.00,2490.00,30.00,0.00,0.00,10.00,5214.00,49.00,4448.00,27.00,978.00,

 12:02:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,0.00,41.00,
Total Counts,2217.00,60.00,2490.00,30.00,0.00,0.00,10.00,5214.00,49.00,4526.00,27.00,1019.00,

 12:03:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,2.00,0.00,0.00,25.00,
Total Counts,2217.00,60.00,2490.00,30.00,0.00,0.00,10.00,5291.00,51.00,4526.00,27.00,1044.00,

 12:03:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,76.00,0.00,0.00,
Total Counts,2217.00,60.00,2490.00,30.00,0.00,0.00,10.00,5316.00,51.00,4602.00,27.00,1044.00,

 12:04:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,60.00,2490.00,30.00,0.00,0.00,10.00,5316.00,51.00,4602.00,27.00,1044.00,

 12:04:45
Interval Count,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,137.00,0.00,18.00,
Total Counts,2217.00,60.00,2490.00,32.00,0.00,0.00,10.00,5316.00,51.00,4739.00,27.00,1062.00,

 12:05:15
Interval Count,0.00,2.00,169.00,188.00,0.00,0.00,0.00,3.00,0.00,83.00,0.00,3.00,
Total Counts,2217.00,62.00,2659.00,220.00,0.00,0.00,10.00,5319.00,51.00,4822.00,27.00,1065.00,

 12:05:45
Interval Count,0.00,0.00,189.00,240.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,
Total Counts,2217.00,62.00,2848.00,460.00,0.00,0.00,10.00,5319.00,51.00,4825.00,27.00,1065.00,

 12:06:15
Interval Count,0.00,0.00,164.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3012.00,700.00,0.00,0.00,10.00,5319.00,51.00,4825.00,27.00,1065.00,

 12:06:45
Interval Count,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,
Total Counts,2217.00,62.00,3012.00,736.00,0.00,0.00,10.00,5319.00,51.00,4825.00,27.00,1150.00,

 12:07:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,0.00,0.00,0.00,58.00,
Total Counts,2217.00,62.00,3012.00,736.00,0.00,0.00,10.00,5381.00,51.00,4825.00,27.00,1208.00,

 12:07:45
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,0.00,46.00,0.00,1.00,0.00,1.00,
Total Counts,2217.00,62.00,3012.00,737.00,0.00,0.00,10.00,5427.00,51.00,4826.00,27.00,1209.00,

 12:08:15
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,40.00,
Total Counts,2217.00,62.00,3012.00,738.00,0.00,0.00,11.00,5427.00,52.00,4826.00,27.00,1249.00,

 12:08:45
Interval Count,0.00,0.00,0.00,6.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,16.00,
Total Counts,2217.00,62.00,3012.00,744.00,0.00,0.00,11.00,5482.00,52.00,4826.00,27.00,1265.00,

 12:09:16
Interval Count,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3014.00,744.00,0.00,0.00,11.00,5482.00,52.00,4826.00,27.00,1265.00,

 12:09:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,17.00,
Total Counts,2217.00,62.00,3014.00,744.00,0.00,0.00,11.00,5482.00,152.00,4826.00,27.00,1282.00,

 12:10:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,43.00,
Total Counts,2217.00,62.00,3014.00,744.00,0.00,0.00,11.00,5482.00,158.00,4826.00,27.00,1325.00,

 12:10:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3014.00,744.00,0.00,0.00,11.00,5482.00,158.00,4826.00,27.00,1325.00,

 12:11:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3014.00,744.00,0.00,0.00,11.00,5482.00,181.00,4826.00,27.00,1325.00,

 12:11:46
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3014.00,745.00,0.00,0.00,11.00,5482.00,181.00,4826.00,27.00,1325.00,

 12:12:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3014.00,745.00,0.00,0.00,11.00,5482.00,181.00,4826.00,27.00,1325.00,

 12:12:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,2217.00,62.00,3014.00,745.00,0.00,0.00,11.00,5482.00,181.00,4826.00,27.00,1326.00,

 12:13:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
Total Counts,2217.00,62.00,3014.00,745.00,0.00,0.00,11.00,5482.00,181.00,4826.00,27.00,1329.00,

 12:13:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148.00,0.00,0.00,0.00,37.00,
Total Counts,2217.00,62.00,3014.00,745.00,0.00,0.00,11.00,5630.00,181.00,4826.00,27.00,1366.00,

 12:14:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3014.00,745.00,0.00,0.00,11.00,5800.00,181.00,4826.00,27.00,1366.00,

 12:14:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.00,0.00,164.00,0.00,0.00,
Total Counts,2217.00,62.00,3014.00,745.00,0.00,0.00,11.00,6032.00,181.00,4990.00,27.00,1366.00,

 12:15:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.00,0.00,81.00,0.00,0.00,
Total Counts,2217.00,62.00,3014.00,745.00,0.00,0.00,11.00,6257.00,181.00,5071.00,27.00,1366.00,

 12:15:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.00,0.00,88.00,0.00,17.00,
Total Counts,2217.00,62.00,3014.00,745.00,0.00,0.00,11.00,6413.00,181.00,5159.00,27.00,1383.00,

 12:16:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,
Total Counts,2217.00,62.00,3014.00,745.00,0.00,0.00,11.00,6413.00,182.00,5162.00,27.00,1383.00,

 12:16:46
Interval Count,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3014.00,747.00,0.00,0.00,11.00,6413.00,183.00,5162.00,27.00,1383.00,

 12:17:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.00,0.00,0.00,1.00,0.00,
Total Counts,2217.00,62.00,3014.00,747.00,0.00,0.00,11.00,6532.00,183.00,5162.00,28.00,1383.00,

 12:17:46
Interval Count,0.00,0.00,3.00,0.00,0.00,0.00,0.00,218.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3017.00,747.00,0.00,0.00,11.00,6750.00,183.00,5162.00,28.00,1383.00,

 12:18:16
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,5.00,98.00,0.00,29.00,0.00,0.00,
Total Counts,2217.00,62.00,3018.00,747.00,0.00,0.00,16.00,6848.00,183.00,5191.00,28.00,1383.00,

 12:18:46
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,0.00,171.00,15.00,81.00,0.00,0.00,
Total Counts,2217.00,62.00,3018.00,748.00,0.00,0.00,16.00,7019.00,198.00,5272.00,28.00,1383.00,

 12:19:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3018.00,748.00,0.00,0.00,16.00,7019.00,213.00,5272.00,28.00,1383.00,

 12:19:46
Interval Count,0.00,0.00,169.00,0.00,0.00,0.00,0.00,12.00,24.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3187.00,748.00,0.00,0.00,16.00,7031.00,237.00,5272.00,28.00,1383.00,

 12:20:16
Interval Count,0.00,0.00,199.00,0.00,0.00,0.00,0.00,204.00,6.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3386.00,748.00,0.00,0.00,16.00,7235.00,243.00,5272.00,28.00,1383.00,

 12:20:46
Interval Count,0.00,0.00,176.00,0.00,0.00,0.00,0.00,50.00,4.00,0.00,0.00,8.00,
Total Counts,2217.00,62.00,3562.00,748.00,0.00,0.00,16.00,7285.00,247.00,5272.00,28.00,1391.00,

 12:21:16
Interval Count,0.00,0.00,185.00,0.00,0.00,0.00,0.00,124.00,29.00,40.00,0.00,0.00,
Total Counts,2217.00,62.00,3747.00,748.00,0.00,0.00,16.00,7409.00,276.00,5312.00,28.00,1391.00,

 12:21:46
Interval Count,0.00,0.00,171.00,0.00,0.00,0.00,0.00,0.00,5.00,117.00,0.00,137.00,
Total Counts,2217.00,62.00,3918.00,748.00,0.00,0.00,16.00,7409.00,281.00,5429.00,28.00,1528.00,

 12:22:16
Interval Count,0.00,0.00,8.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,61.00,
Total Counts,2217.00,62.00,3926.00,750.00,0.00,0.00,16.00,7411.00,281.00,5429.00,28.00,1589.00,

 12:22:46
Interval Count,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7411.00,281.00,5429.00,28.00,1589.00,

 12:23:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7411.00,281.00,5429.00,28.00,1589.00,

 12:23:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,0.00,0.00,49.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7463.00,281.00,5429.00,28.00,1638.00,

 12:24:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,25.00,0.00,40.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7465.00,281.00,5454.00,28.00,1678.00,

 12:24:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7465.00,281.00,5454.00,28.00,1793.00,

 12:25:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7465.00,281.00,5454.00,28.00,1794.00,

 12:25:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,0.00,58.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7585.00,281.00,5454.00,28.00,1852.00,

 12:26:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,13.00,0.00,55.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7684.00,281.00,5467.00,28.00,1907.00,

 12:26:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,0.00,0.00,0.00,55.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7776.00,281.00,5467.00,28.00,1962.00,

 12:27:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.00,0.00,0.00,0.00,0.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7880.00,281.00,5467.00,28.00,1962.00,

 12:27:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,99.00,0.00,0.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7925.00,281.00,5566.00,28.00,1962.00,

 12:28:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,
Total Counts,2217.00,62.00,3926.00,756.00,0.00,0.00,16.00,7925.00,281.00,5568.00,28.00,1962.00,

 12:28:46
