,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W4
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/30/2017 15:19:20
,     Stop Time: ~10/30/2017 16:19:20


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, , , , , Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,0.00,0.00,0.00,0.00,49.00,23.00,244.00,31.00,44.00,30.00,31.00,26.00,

 15:35:20
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,223.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,49.00,23.00,244.00,254.00,44.00,30.00,31.00,26.00,

 15:35:50
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,237.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,49.00,23.00,244.00,491.00,44.00,30.00,31.00,26.00,

 15:36:20
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,49.00,23.00,244.00,715.00,44.00,30.00,31.00,26.00,

 15:36:50
Interval Count,0.00,0.00,0.00,0.00,0.00,11.00,0.00,147.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,49.00,34.00,244.00,862.00,44.00,30.00,31.00,26.00,

 15:37:20
Interval Count,0.00,0.00,0.00,0.00,179.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,228.00,34.00,244.00,862.00,44.00,30.00,31.00,26.00,

 15:37:50
