,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/9/2018 11:59:07
,     Stop Time: ~1/9/2018 12:59:07


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di13_S, Di13_H, Di14_S, Di14_H, Vi15_S, Vi15_H, Vi16_H, Vi16_S, Ri13_H, Ri13_S, Ri14_H, Ri14_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,637.00,1369.00,280.00,99.00,54.00,163.00,1017.00,65.00,17.00,120.00,359.00,521.00,

 12:35:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,118.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,99.00,54.00,163.00,1135.00,65.00,17.00,120.00,359.00,521.00,

 12:36:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,99.00,54.00,163.00,1135.00,65.00,17.00,120.00,359.00,521.00,

 12:36:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,99.00,54.00,163.00,1185.00,65.00,17.00,120.00,359.00,521.00,

 12:37:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,99.00,54.00,163.00,1185.00,65.00,17.00,120.00,359.00,521.00,

 12:37:38
Interval Count,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,99.00,55.00,163.00,1185.00,65.00,18.00,120.00,359.00,521.00,

 12:38:08
Interval Count,179.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,816.00,1369.00,280.00,99.00,55.00,163.00,1185.00,65.00,18.00,120.00,359.00,521.00,

 12:38:38
Interval Count,97.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,0.00,0.00,0.00,0.00,
Total Counts,913.00,1369.00,280.00,99.00,55.00,163.00,1185.00,144.00,18.00,120.00,359.00,521.00,

 12:39:08
Interval Count,43.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,
Total Counts,956.00,1369.00,280.00,99.00,55.00,163.00,1185.00,195.00,18.00,120.00,359.00,521.00,

 12:39:38
Interval Count,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,956.00,1370.00,280.00,99.00,55.00,163.00,1185.00,195.00,18.00,120.00,359.00,521.00,

 12:40:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,956.00,1370.00,280.00,99.00,55.00,163.00,1185.00,195.00,18.00,120.00,359.00,521.00,

 12:40:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,956.00,1370.00,280.00,99.00,55.00,163.00,1186.00,196.00,18.00,120.00,359.00,521.00,

 12:41:08
Interval Count,0.00,0.00,61.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,956.00,1370.00,341.00,99.00,55.00,163.00,1186.00,198.00,18.00,120.00,359.00,521.00,

 12:41:38
Interval Count,0.00,0.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,956.00,1370.00,481.00,99.00,55.00,163.00,1186.00,198.00,18.00,120.00,359.00,521.00,

 12:42:08
Interval Count,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,956.00,1370.00,483.00,99.00,55.00,163.00,1188.00,198.00,18.00,120.00,359.00,521.00,

 12:42:38
Interval Count,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,988.00,1370.00,483.00,99.00,55.00,163.00,1188.00,198.00,18.00,120.00,359.00,521.00,

 12:43:08
Interval Count,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,991.00,1370.00,483.00,99.00,55.00,163.00,1188.00,198.00,18.00,121.00,359.00,521.00,

 12:43:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,23.00,3.00,0.00,0.00,0.00,0.00,
Total Counts,991.00,1370.00,483.00,99.00,55.00,163.00,1211.00,201.00,18.00,121.00,359.00,521.00,

 12:44:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,991.00,1370.00,483.00,99.00,55.00,163.00,1225.00,201.00,18.00,121.00,359.00,521.00,

 12:44:38
Interval Count,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,991.00,1370.00,483.00,99.00,55.00,169.00,1225.00,201.00,18.00,121.00,359.00,521.00,

 12:45:08
Interval Count,0.00,1.00,0.00,0.00,0.00,0.00,57.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,991.00,1371.00,483.00,99.00,55.00,169.00,1282.00,201.00,18.00,121.00,359.00,521.00,

 12:45:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,991.00,1371.00,483.00,99.00,55.00,169.00,1287.00,201.00,18.00,121.00,359.00,521.00,

 12:46:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,991.00,1371.00,483.00,99.00,55.00,169.00,1322.00,201.00,18.00,121.00,359.00,521.00,

 12:46:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,991.00,1371.00,483.00,99.00,55.00,169.00,1322.00,201.00,18.00,121.00,359.00,521.00,

 12:47:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,991.00,1371.00,483.00,99.00,55.00,169.00,1322.00,201.00,18.00,121.00,359.00,521.00,

 12:47:39
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,991.00,1371.00,483.00,99.00,55.00,169.00,1322.00,201.00,18.00,121.00,359.00,521.00,

 12:48:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,140.00,0.00,0.00,
Total Counts,991.00,1371.00,483.00,99.00,55.00,169.00,1322.00,202.00,18.00,261.00,359.00,521.00,

 12:48:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,93.00,0.00,0.00,1.00,0.00,0.00,
